Source,Target,Weight
1,5,5
1,8,4
1,11,5
1,15,5
1,17,4
1,19,4
1,27,5
1,28,4
1,29,4
1,32,5
1,34,7
1,36,4
1,37,4
1,40,4
1,42,4
1,47,6
1,48,5
1,52,4
1,53,4
1,57,5
1,60,4
1,62,7
1,69,4
1,71,4
1,73,6
1,75,4
1,77,4
1,80,4
1,83,4
1,84,4
1,86,5
1,92,5
1,95,5
1,97,4
1,98,4
1,102,7
1,103,4
1,109,5
1,112,4
1,122,5
1,123,7
1,124,4
1,126,4
1,128,5
1,139,4
1,150,4
1,151,5
1,159,5
1,167,4
1,169,5
1,170,5
1,175,4
1,183,4
1,184,4
1,185,5
1,194,4
1,201,4
1,204,5
1,208,4
1,213,5
1,216,6
1,217,4
1,221,5
1,223,4
1,224,4
1,225,4
1,229,5
1,230,4
1,231,4
1,233,7
1,234,4
1,239,5
1,243,5
1,244,5
1,250,4
1,257,4
1,261,4
1,262,4
1,267,4
1,271,4
1,272,4
1,276,5
1,279,6
1,280,5
1,283,4
1,293,6
1,301,5
1,306,5
1,312,4
1,323,6
1,335,4
1,336,6
1,342,4
1,343,5
1,372,4
1,377,4
1,401,5
1,411,4
1,413,4
1,420,5
1,421,4
1,427,4
1,462,4
1,467,5
1,484,5
1,488,4
1,491,4
1,496,4
1,506,5
1,508,5
1,509,4
1,511,4
1,512,5
1,540,6
1,542,4
1,544,4
1,578,6
1,582,5
1,588,7
1,596,4
1,608,5
1,619,5
1,625,4
1,628,4
1,655,4
1,662,5
1,724,4
1,729,4
1,733,4
1,741,4
1,756,4
1,769,4
1,774,4
1,779,5
1,800,4
1,801,4
1,813,4
1,814,5
1,839,5
1,851,4
1,871,5
1,921,4
1,923,4
1,932,4
1,940,4
1,973,4
1,977,4
1,978,5
1,995,4
1,1002,5
1,1009,4
1,1035,4
1,1045,4
1,1080,4
1,1084,5
1,1087,5
1,1094,4
1,1111,4
1,1156,4
1,1192,5
1,1193,5
1,1202,5
1,1214,6
1,1218,4
1,1231,5
1,1276,4
1,1278,4
1,1295,4
1,1297,5
1,1304,4
1,1342,4
1,1391,5
1,1400,4
1,1413,5
1,1466,4
1,1491,6
1,1532,5
1,1569,4
1,1584,4
1,1612,4
1,1618,4
1,1651,4
1,1653,8
1,1751,4
1,1803,4
1,1828,4
1,1873,4
1,1878,4
1,1915,4
1,1919,4
1,1933,5
1,1937,4
1,1985,4
1,1991,6
1,2047,4
1,2067,4
1,2128,5
1,2130,5
1,2158,4
1,2164,5
1,2199,5
1,2318,4
1,2328,5
1,2373,4
1,2404,6
1,2434,4
1,2443,4
1,2445,7
1,2493,4
1,2579,4
1,2593,4
1,2697,4
1,2816,4
1,2825,4
1,2827,4
1,2869,4
1,2913,5
1,2968,4
1,2996,4
1,3159,5
1,3185,5
1,3209,7
1,3306,4
1,3351,4
1,3406,4
1,3440,4
1,3461,4
1,3495,5
1,3731,4
1,3900,4
1,3994,4
1,4013,4
1,4040,4
1,4043,4
1,4078,4
1,4118,4
1,4177,4
1,4194,4
1,4268,4
1,4333,4
1,4345,4
1,4671,4
2,6,7
2,13,9
2,14,5
2,18,5
2,21,4
2,31,7
2,51,5
2,82,4
2,104,5
2,107,4
2,116,6
2,132,5
2,200,12
2,272,6
2,292,4
2,306,4
2,335,4
2,340,4
2,341,4
2,449,4
2,468,4
2,494,4
2,509,4
2,537,4
2,785,5
2,786,5
2,870,4
2,972,4
2,1017,5
2,1018,5
2,1032,4
2,1132,4
2,1208,4
2,1216,4
2,1297,4
2,1332,4
2,1364,4
2,1469,5
2,1491,4
2,1524,4
2,1560,4
2,1648,4
2,1687,4
2,1696,4
